RMSD between 170 pruned atom pairs is 1.132 angstroms; (across all 296 pairs: 5.400)
RMSD between 199 pruned atom pairs is 0.916 angstroms; (across all 296 pairs: 5.168)
RMSD between 179 pruned atom pairs is 1.181 angstroms; (across all 296 pairs: 5.500)
RMSD between 175 pruned atom pairs is 1.080 angstroms; (across all 296 pairs: 5.420)
RMSD between 174 pruned atom pairs is 1.072 angstroms; (across all 296 pairs: 5.236)
RMSD between 167 pruned atom pairs is 1.105 angstroms; (across all 296 pairs: 5.326)
RMSD between 177 pruned atom pairs is 1.108 angstroms; (across all 296 pairs: 5.672)
RMSD between 169 pruned atom pairs is 1.075 angstroms; (across all 296 pairs: 5.050)
RMSD between 178 pruned atom pairs is 1.111 angstroms; (across all 296 pairs: 5.327)
RMSD between 176 pruned atom pairs is 1.081 angstroms; (across all 296 pairs: 5.393)
RMSD between 178 pruned atom pairs is 1.089 angstroms; (across all 296 pairs: 5.309)
RMSD between 175 pruned atom pairs is 1.098 angstroms; (across all 296 pairs: 5.135)
RMSD between 170 pruned atom pairs is 1.124 angstroms; (across all 296 pairs: 5.290)
RMSD between 167 pruned atom pairs is 1.169 angstroms; (across all 296 pairs: 5.231)
RMSD between 172 pruned atom pairs is 1.089 angstroms; (across all 296 pairs: 5.267)
RMSD between 163 pruned atom pairs is 1.081 angstroms; (across all 296 pairs: 5.397)
RMSD between 172 pruned atom pairs is 1.087 angstroms; (across all 296 pairs: 5.230)
RMSD between 169 pruned atom pairs is 1.129 angstroms; (across all 296 pairs: 5.311)
RMSD between 168 pruned atom pairs is 1.086 angstroms; (across all 296 pairs: 5.225)
RMSD between 160 pruned atom pairs is 1.014 angstroms; (across all 296 pairs: 5.218)
RMSD between 172 pruned atom pairs is 1.067 angstroms; (across all 296 pairs: 5.469)
RMSD between 174 pruned atom pairs is 1.190 angstroms; (across all 296 pairs: 5.604)
RMSD between 183 pruned atom pairs is 1.151 angstroms; (across all 296 pairs: 5.735)
RMSD between 177 pruned atom pairs is 1.111 angstroms; (across all 296 pairs: 5.478)
RMSD between 167 pruned atom pairs is 1.108 angstroms; (across all 296 pairs: 5.242)
RMSD between 169 pruned atom pairs is 1.165 angstroms; (across all 296 pairs: 5.434)
RMSD between 177 pruned atom pairs is 1.081 angstroms; (across all 296 pairs: 5.431)
RMSD between 177 pruned atom pairs is 1.101 angstroms; (across all 296 pairs: 5.468)
